Date,Temp_avg,Relative_Humidity,Wind_kmh,Precipitation_mm,Week_Number
2013-06-09,28.87142857142857,79.42857142857143,7.242857142857143,2.4,23
2013-06-16,29.214285714285715,76.21428571428571,6.542857142857143,5.8,24
2013-06-23,29.657142857142855,71.51428571428572,5.814285714285715,0.0,25
2013-06-30,28.714285714285715,76.77142857142857,7.685714285714285,0.0,26
2013-07-07,28.085714285714285,78.77142857142857,6.585714285714286,5.0,27
2013-07-14,27.557142857142857,81.65714285714286,7.042857142857143,36.2,28
2013-07-21,27.5,81.24285714285715,5.914285714285714,44.4,29
2013-07-28,27.928571428571427,77.05714285714285,5.142857142857143,0.4,30
2013-08-04,28.685714285714287,76.89999999999999,5.828571428571428,1.2,31
2013-08-11,28.900000000000002,74.72857142857143,7.457142857142857,0.0,32
2013-08-18,28.728571428571428,75.24285714285715,7.0857142857142845,22.5,33
